idx,created_date,updated_date,acidity,bitterness,body,coffeeing_note,expired,flavor,param1,param2,param3,param4,param5,param6,param7,param8,result_code,result_type,sweetness,member_idx
268,2023-03-09 12:14:24.000000,2023-03-09 12:14:24.000000,2.1,3.2,4.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 플로럴",N,7.8,1,2,1,1,2,2,2,4,13,향미에 가치를 두는 타입,5.0,268
269,2023-03-09 12:57:36.000000,2023-03-09 12:57:36.000000,1.9,2.4,5.8,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 허니",N,5.0,1,4,1,5,3,2,1,5,35,달콤하고 즐거운 맛을 즐기는 타입,6.4,269
270,2023-03-09 13:40:48.000000,2023-03-09 13:40:48.000000,5.3,3.9,6.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,5.7,1,2,2,5,1,2,4,2,51,풍부하고 진한 입감을 즐기는 타입,3.8,270
271,2023-03-09 14:24:00.000000,2023-03-09 14:24:00.000000,3.3,4.6,4.6,"카라멜, 고소한, 풍부한, 과일, 풍부한, 체리, 복숭아, 우디",N,6.5,2,2,1,3,1,1,2,1,13,향미에 가치를 두는 타입,5.4,271
272,2023-03-09 15:07:12.000000,2023-03-09 15:07:12.000000,3.3,4.6,4.6,"카라멜, 고소한, 풍부한, 과일, 풍부한, 체리, 복숭아, 우디",N,6.5,1,2,1,3,1,1,2,1,13,향미에 가치를 두는 타입,5.4,272
273,2023-03-09 15:50:24.000000,2023-03-09 15:50:24.000000,2.4,4.9,5.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,7.4,1,2,1,1,1,2,2,1,15,향미에 가치를 두는 타입,4.3,273
274,2023-03-09 16:33:36.000000,2023-03-09 16:33:36.000000,1.9,2.4,5.8,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 허니",N,5.0,2,2,1,5,3,2,1,5,35,달콤하고 즐거운 맛을 즐기는 타입,6.4,274
275,2023-03-09 17:16:48.000000,2023-03-09 17:16:48.000000,2.8,2.6,5.4,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 플로럴",N,7.5,2,3,2,1,4,2,5,4,15,향미에 가치를 두는 타입,5.0,275
276,2023-03-09 18:00:00.000000,2023-03-09 18:00:00.000000,3.3,4.0,5.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,6.5,1,2,1,1,4,2,4,1,15,향미에 가치를 두는 타입,4.2,276
277,2023-03-09 18:43:12.000000,2023-03-09 18:43:12.000000,5.6,4.4,3.9,"카라멜, 고소한, 풍부한, 과일, 풍부한, 베리, 커런트, 시트러스",N,7.6,1,3,1,1,1,1,3,2,12,향미에 가치를 두는 타입,3.6,277
278,2023-03-09 19:26:24.000000,2023-03-09 19:26:24.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,1,3,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,278
279,2023-03-09 20:09:36.000000,2023-03-09 20:09:36.000000,3.6,4.7,6.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 망고, 바나나, 파인애플, 우디",N,7.5,1,2,1,1,1,1,5,1,15,향미에 가치를 두는 타입,3.6,279
280,2023-03-09 20:52:48.000000,2023-03-09 20:52:48.000000,2.8,5.3,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,8.1,2,3,1,1,1,2,2,3,14,향미에 가치를 두는 타입,4.7,280
281,2023-03-09 21:36:00.000000,2023-03-09 21:36:00.000000,4.2,4.6,5.8,"견과류, 묵직한, 스모크, 초코, 부드러운, 체리, 복숭아, 우디",N,5.8,1,4,2,2,1,2,2,1,15,향미에 가치를 두는 타입,4.2,281
282,2023-03-09 22:19:12.000000,2023-03-09 22:19:12.000000,3.9,3.6,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 베리, 커런트, 시트러스",N,4.7,1,2,1,3,3,2,3,2,31,달콤하고 즐거운 맛을 즐기는 타입,6.8,282
283,2023-03-09 23:02:24.000000,2023-03-09 23:02:24.000000,3.3,4.0,5.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,6.5,2,3,1,1,4,2,4,1,15,향미에 가치를 두는 타입,4.2,283
284,2023-03-09 23:45:36.000000,2023-03-09 23:45:36.000000,2.8,6.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,6.4,1,3,1,4,1,2,2,3,41,강하고 쓴 맛을 선호하는 타입,4.7,284
285,2023-03-10 00:28:48.000000,2023-03-10 00:28:48.000000,2.9,4.6,6.9,"견과류, 묵직한, 스모크, 견과류, 고소한, 레몬, 오렌지, 귤, 우디",N,6.7,1,2,2,1,2,3,4,1,51,풍부하고 진한 입감을 즐기는 타입,2.6,285
286,2023-03-10 01:12:00.000000,2023-03-10 01:12:00.000000,3.9,5.4,7.4,"과일, 초코, 균형있는, 초코, 부드러운, 베리, 커런트, 우디",N,4.6,2,4,3,5,1,2,3,1,54,풍부하고 진한 입감을 즐기는 타입,4.3,286
287,2023-03-10 01:55:12.000000,2023-03-10 01:55:12.000000,4.3,3.6,4.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 시트러스",N,6.9,1,2,1,1,1,2,1,2,15,향미에 가치를 두는 타입,4.3,287
288,2023-03-10 02:38:24.000000,2023-03-10 02:38:24.000000,3.2,3.3,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 플로럴",N,7.4,2,4,1,1,3,2,4,4,13,향미에 가치를 두는 타입,4.7,288
289,2023-03-10 03:21:36.000000,2023-03-10 03:21:36.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,2,3,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,289
290,2023-03-10 04:04:48.000000,2023-03-10 04:04:48.000000,2.2,2.9,4.4,"견과류, 묵직한, 스모크, 견과류, 고소한, 체리, 복숭아, 플로럴",N,8.5,1,4,2,1,4,3,2,4,15,향미에 가치를 두는 타입,4.0,290
291,2023-03-10 04:48:00.000000,2023-03-10 04:48:00.000000,2.1,3.2,6.1,"견과류, 묵직한, 스모크, 견과류, 고소한, 망고, 바나나, 파인애플, 플로럴",N,6.0,1,2,2,3,3,3,5,4,51,풍부하고 진한 입감을 즐기는 타입,5.8,291
292,2023-03-10 05:31:12.000000,2023-03-10 05:31:12.000000,2.1,3.2,6.1,"견과류, 묵직한, 스모크, 견과류, 고소한, 망고, 바나나, 파인애플, 플로럴",N,6.0,1,3,2,3,3,3,5,4,51,풍부하고 진한 입감을 즐기는 타입,5.8,292
293,2023-03-10 06:14:24.000000,2023-03-10 06:14:24.000000,2.1,3.6,5.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 우디",N,4.4,1,3,1,3,3,2,1,1,35,달콤하고 즐거운 맛을 즐기는 타입,6.5,293
294,2023-03-10 06:57:36.000000,2023-03-10 06:57:36.000000,3.2,3.1,6.5,"견과류, 고소한, 중후한, 초코, 부드러운, 사과, 배, 허니",N,4.9,2,3,4,5,1,2,1,5,53,풍부하고 진한 입감을 즐기는 타입,5.6,294
295,2023-03-10 07:40:48.000000,2023-03-10 07:40:48.000000,2.8,6.2,6.0,"카라멜, 고소한, 풍부한, 견과류, 고소한, 베리, 커런트, 우디",N,6.7,1,2,1,1,1,3,3,1,14,향미에 가치를 두는 타입,2.6,295
296,2023-03-10 08:24:00.000000,2023-03-10 08:24:00.000000,2.6,2.9,6.5,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 플로럴",N,5.7,1,3,1,5,4,2,5,4,51,풍부하고 진한 입감을 즐기는 타입,5.1,296
297,2023-03-10 09:07:12.000000,2023-03-10 09:07:12.000000,3.8,7.8,5.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 레몬, 오렌지, 귤, 허브",N,6.1,2,2,1,4,1,3,4,3,41,강하고 쓴 맛을 선호하는 타입,2.8,297
298,2023-03-10 09:50:24.000000,2023-03-10 09:50:24.000000,3.2,3.6,6.1,"견과류, 고소한, 중후한, 초코, 부드러운, 체리, 복숭아, 플로럴",N,6.1,2,4,4,5,1,2,2,4,15,향미에 가치를 두는 타입,4.7,298
299,2023-03-10 10:33:36.000000,2023-03-10 10:33:36.000000,3.8,5.0,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,6.9,2,4,2,1,1,2,4,1,15,향미에 가치를 두는 타입,3.3,299
300,2023-03-10 11:16:48.000000,2023-03-10 11:16:48.000000,2.6,4.0,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 플로럴",N,8.3,1,2,1,1,1,2,2,4,13,향미에 가치를 두는 타입,4.6,300
301,2023-03-10 12:00:00.000000,2023-03-10 12:00:00.000000,2.6,3.5,6.4,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 허니",N,7.4,1,3,2,1,1,2,5,5,15,향미에 가치를 두는 타입,5.6,301
302,2023-03-10 12:43:12.000000,2023-03-10 12:43:12.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,1,3,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,302
303,2023-03-10 13:26:24.000000,2023-03-10 13:26:24.000000,2.9,4.6,6.9,"견과류, 묵직한, 스모크, 견과류, 고소한, 레몬, 오렌지, 귤, 우디",N,6.7,2,2,2,1,2,3,4,1,51,풍부하고 진한 입감을 즐기는 타입,2.6,303
304,2023-03-10 14:09:36.000000,2023-03-10 14:09:36.000000,5.7,3.6,5.1,"견과류, 고소한, 중후한, 초코, 부드러운, 레몬, 오렌지, 귤, 허니",N,5.1,1,2,4,2,1,2,4,5,21,상쾌하고 산미가 강조된 맛을 좋아하는 타입,5.1,304
305,2023-03-10 14:52:48.000000,2023-03-10 14:52:48.000000,3.2,3.1,6.5,"견과류, 고소한, 중후한, 초코, 부드러운, 사과, 배, 허니",N,4.9,1,2,4,5,1,2,1,5,53,풍부하고 진한 입감을 즐기는 타입,5.6,305
306,2023-03-10 15:36:00.000000,2023-03-10 15:36:00.000000,3.6,2.5,4.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 시트러스",N,4.9,1,3,1,3,3,2,1,2,31,달콤하고 즐거운 맛을 즐기는 타입,6.9,306
307,2023-03-10 16:19:12.000000,2023-03-10 16:19:12.000000,3.3,4.6,4.6,"카라멜, 고소한, 풍부한, 과일, 풍부한, 체리, 복숭아, 우디",N,6.5,1,2,1,3,1,1,2,1,13,향미에 가치를 두는 타입,5.4,307
308,2023-03-10 17:02:24.000000,2023-03-10 17:02:24.000000,5.7,4.2,4.4,"견과류, 묵직한, 스모크, 과일, 풍부한, 베리, 커런트, 시트러스",N,7.8,2,2,2,1,1,1,3,2,12,향미에 가치를 두는 타입,3.5,308
309,2023-03-10 17:45:36.000000,2023-03-10 17:45:36.000000,3.9,5.4,7.4,"과일, 초코, 균형있는, 초코, 부드러운, 베리, 커런트, 우디",N,4.6,1,5,3,5,1,2,3,1,54,풍부하고 진한 입감을 즐기는 타입,4.3,309
310,2023-03-10 18:28:48.000000,2023-03-10 18:28:48.000000,3.9,4.2,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 허브",N,5.7,2,3,2,5,4,2,4,3,51,풍부하고 진한 입감을 즐기는 타입,4.4,310
311,2023-03-10 19:12:00.000000,2023-03-10 19:12:00.000000,5.7,4.2,5.1,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 플로럴",N,6.2,1,3,2,2,1,2,4,4,12,향미에 가치를 두는 타입,3.6,311
312,2023-03-10 19:55:12.000000,2023-03-10 19:55:12.000000,3.9,4.2,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 허브",N,5.7,1,2,2,5,4,2,4,3,51,풍부하고 진한 입감을 즐기는 타입,4.4,312
313,2023-03-10 20:38:24.000000,2023-03-10 20:38:24.000000,2.8,5.8,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 망고, 바나나, 파인애플, 허브",N,7.6,1,2,1,1,1,3,5,3,15,향미에 가치를 두는 타입,3.5,313
314,2023-03-10 21:21:36.000000,2023-03-10 21:21:36.000000,2.6,3.5,6.4,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 허니",N,7.4,1,3,2,1,1,2,5,5,15,향미에 가치를 두는 타입,5.6,314
315,2023-03-10 22:04:48.000000,2023-03-10 22:04:48.000000,5.1,6.2,5.3,"견과류, 고소한, 중후한, 과일, 풍부한, 레몬, 오렌지, 귤, 우디",N,5.4,1,3,4,4,1,1,4,1,41,강하고 쓴 맛을 선호하는 타입,3.1,315
316,2023-03-10 22:48:00.000000,2023-03-10 22:48:00.000000,3.3,4.6,4.6,"카라멜, 고소한, 풍부한, 과일, 풍부한, 체리, 복숭아, 우디",N,6.5,2,3,1,3,1,1,2,1,13,향미에 가치를 두는 타입,5.4,316
317,2023-03-10 23:31:12.000000,2023-03-10 23:31:12.000000,4.4,6.0,3.9,"카라멜, 고소한, 풍부한, 과일, 풍부한, 베리, 커런트, 허브",N,7.9,1,2,1,1,1,1,3,3,14,향미에 가치를 두는 타입,3.6,317
318,2023-03-11 00:14:24.000000,2023-03-11 00:14:24.000000,3.9,3.6,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 베리, 커런트, 시트러스",N,4.7,2,2,1,3,3,2,3,2,31,달콤하고 즐거운 맛을 즐기는 타입,6.8,318
319,2023-03-11 00:57:36.000000,2023-03-11 00:57:36.000000,1.7,3.8,4.9,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,5.3,1,2,1,3,3,2,2,1,31,달콤하고 즐거운 맛을 즐기는 타입,6.9,319
320,2023-03-11 01:40:48.000000,2023-03-11 01:40:48.000000,4.6,5.0,5.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 레몬, 오렌지, 귤, 우디",N,7.6,1,4,1,1,1,1,4,1,14,향미에 가치를 두는 타입,2.9,320
321,2023-03-11 02:24:00.000000,2023-03-11 02:24:00.000000,2.8,4.2,6.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 허브",N,5.4,1,3,1,5,4,2,5,3,51,풍부하고 진한 입감을 즐기는 타입,5.3,321
322,2023-03-11 03:07:12.000000,2023-03-11 03:07:12.000000,3.1,5.4,5.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 허브",N,7.4,2,2,1,1,1,2,5,3,15,향미에 가치를 두는 타입,4.6,322
323,2023-03-11 03:50:24.000000,2023-03-11 03:50:24.000000,2.1,3.2,6.1,"견과류, 묵직한, 스모크, 견과류, 고소한, 망고, 바나나, 파인애플, 플로럴",N,6.0,1,3,2,3,3,3,5,4,51,풍부하고 진한 입감을 즐기는 타입,5.8,323
324,2023-03-11 04:33:36.000000,2023-03-11 04:33:36.000000,2.6,4.0,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 플로럴",N,8.3,2,2,1,1,1,2,2,4,13,향미에 가치를 두는 타입,4.6,324
325,2023-03-11 05:16:48.000000,2023-03-11 05:16:48.000000,2.8,4.2,6.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 허브",N,5.4,2,2,1,5,4,2,5,3,51,풍부하고 진한 입감을 즐기는 타입,5.3,325
326,2023-03-11 06:00:00.000000,2023-03-11 06:00:00.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,2,2,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,326
327,2023-03-11 06:43:12.000000,2023-03-11 06:43:12.000000,4.2,4.6,5.8,"견과류, 묵직한, 스모크, 초코, 부드러운, 체리, 복숭아, 우디",N,5.8,1,3,2,2,1,2,2,1,15,향미에 가치를 두는 타입,4.2,327
328,2023-03-11 07:26:24.000000,2023-03-11 07:26:24.000000,2.8,5.3,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,8.1,2,2,1,1,1,2,2,3,14,향미에 가치를 두는 타입,4.7,328
329,2023-03-11 08:09:36.000000,2023-03-11 08:09:36.000000,3.6,4.7,6.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 망고, 바나나, 파인애플, 우디",N,7.5,2,2,1,1,1,1,5,1,15,향미에 가치를 두는 타입,3.6,329
330,2023-03-11 08:52:48.000000,2023-03-11 08:52:48.000000,2.8,2.6,5.4,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 플로럴",N,7.5,2,3,2,1,4,2,5,4,15,향미에 가치를 두는 타입,5.0,330
331,2023-03-11 09:36:00.000000,2023-03-11 09:36:00.000000,2.9,4.0,5.3,"견과류, 묵직한, 스모크, 견과류, 고소한, 사과, 배, 플로럴",N,7.9,2,4,2,1,1,3,1,4,15,향미에 가치를 두는 타입,2.9,331
332,2023-03-11 10:19:12.000000,2023-03-11 10:19:12.000000,2.4,3.8,6.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 우디",N,6.4,2,3,1,1,4,2,5,1,15,향미에 가치를 두는 타입,4.9,332
333,2023-03-11 11:02:24.000000,2023-03-11 11:02:24.000000,3.1,7.5,5.6,"카라멜, 고소한, 풍부한, 초코, 부드러운, 베리, 커런트, 우디",N,4.7,1,5,1,4,1,2,3,1,45,강하고 쓴 맛을 선호하는 타입,3.8,333
334,2023-03-11 11:45:36.000000,2023-03-11 11:45:36.000000,3.6,4.7,6.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 망고, 바나나, 파인애플, 우디",N,7.5,1,4,1,1,1,1,5,1,15,향미에 가치를 두는 타입,3.6,334
335,2023-03-11 12:28:48.000000,2023-03-11 12:28:48.000000,2.8,5.8,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 망고, 바나나, 파인애플, 허브",N,7.6,2,2,1,1,1,3,5,3,15,향미에 가치를 두는 타입,3.5,335
336,2023-03-11 13:12:00.000000,2023-03-11 13:12:00.000000,4.2,5.4,5.3,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 허브",N,7.6,2,2,2,1,1,2,4,3,14,향미에 가치를 두는 타입,3.8,336
337,2023-03-11 13:55:12.000000,2023-03-11 13:55:12.000000,3.6,4.2,4.7,"카라멜, 고소한, 풍부한, 견과류, 고소한, 체리, 복숭아, 시트러스",N,8.1,2,4,1,1,1,3,2,2,15,향미에 가치를 두는 타입,3.6,337
338,2023-03-11 14:38:24.000000,2023-03-11 14:38:24.000000,2.8,4.7,8.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 우디",N,5.1,1,4,2,5,1,2,5,1,51,풍부하고 진한 입감을 즐기는 타입,4.0,338
339,2023-03-11 15:21:36.000000,2023-03-11 15:21:36.000000,2.4,4.7,5.1,"카라멜, 고소한, 풍부한, 초코, 부드러운, 베리, 커런트, 우디",N,6.0,1,2,1,1,3,2,3,1,15,향미에 가치를 두는 타입,4.7,339
340,2023-03-11 16:04:48.000000,2023-03-11 16:04:48.000000,2.4,3.8,6.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 우디",N,6.4,2,2,1,1,4,2,5,1,15,향미에 가치를 두는 타입,4.9,340
341,2023-03-11 16:48:00.000000,2023-03-11 16:48:00.000000,2.1,5.3,5.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 우디",N,4.4,1,3,1,4,3,2,1,1,45,강하고 쓴 맛을 선호하는 타입,4.9,341
342,2023-03-11 17:31:12.000000,2023-03-11 17:31:12.000000,5.0,5.7,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 레몬, 오렌지, 귤, 우디",N,5.4,1,2,1,2,1,3,4,1,54,풍부하고 진한 입감을 즐기는 타입,2.4,342
343,2023-03-11 18:14:24.000000,2023-03-11 18:14:24.000000,2.4,4.4,4.6,"카라멜, 고소한, 풍부한, 견과류, 고소한, 체리, 복숭아, 플로럴",N,8.6,1,3,1,1,1,3,2,4,15,향미에 가치를 두는 타입,3.5,343
344,2023-03-11 18:57:36.000000,2023-03-11 18:57:36.000000,2.4,4.9,6.9,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,5.7,2,2,1,5,1,2,2,1,51,풍부하고 진한 입감을 즐기는 타입,4.3,344
345,2023-03-11 19:40:48.000000,2023-03-11 19:40:48.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,1,2,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,345
346,2023-03-11 20:24:00.000000,2023-03-11 20:24:00.000000,3.3,2.5,6.7,"견과류, 묵직한, 스모크, 과일, 풍부한, 망고, 바나나, 파인애플, 플로럴",N,6.5,1,3,2,5,3,1,5,4,51,풍부하고 진한 입감을 즐기는 타입,4.7,346
347,2023-03-11 21:07:12.000000,2023-03-11 21:07:12.000000,4.6,5.7,4.4,"견과류, 묵직한, 스모크, 과일, 풍부한, 베리, 커런트, 허브",N,8.1,1,4,2,1,1,1,3,3,14,향미에 가치를 두는 타입,3.5,347
348,2023-03-11 21:50:24.000000,2023-03-11 21:50:24.000000,5.4,5.0,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,5.3,1,4,2,2,1,2,4,1,52,풍부하고 진한 입감을 즐기는 타입,3.3,348
349,2023-03-11 22:33:36.000000,2023-03-11 22:33:36.000000,4.2,2.4,4.9,"카라멜, 고소한, 풍부한, 과일, 풍부한, 체리, 복숭아, 시트러스",N,6.5,1,4,1,5,3,1,2,2,13,향미에 가치를 두는 타입,5.1,349
350,2023-03-11 23:16:48.000000,2023-03-11 23:16:48.000000,5.4,5.0,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,5.3,1,2,2,2,1,2,4,1,52,풍부하고 진한 입감을 즐기는 타입,3.3,350
351,2023-03-12 00:00:00.000000,2023-03-12 00:00:00.000000,4.4,3.1,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,5.1,1,4,1,3,3,2,4,2,31,달콤하고 즐거운 맛을 즐기는 타입,6.5,351
352,2023-03-12 00:43:12.000000,2023-03-12 00:43:12.000000,4.9,2.9,5.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,5.3,1,2,1,5,4,2,4,2,51,풍부하고 진한 입감을 즐기는 타입,4.6,352
353,2023-03-12 01:26:24.000000,2023-03-12 01:26:24.000000,2.9,4.0,5.3,"견과류, 묵직한, 스모크, 견과류, 고소한, 사과, 배, 플로럴",N,7.9,2,2,2,1,1,3,1,4,15,향미에 가치를 두는 타입,2.9,353
354,2023-03-12 02:09:36.000000,2023-03-12 02:09:36.000000,2.9,4.2,5.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,6.4,2,2,1,1,3,2,4,1,15,향미에 가치를 두는 타입,4.4,354
355,2023-03-12 02:52:48.000000,2023-03-12 02:52:48.000000,5.0,5.7,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 레몬, 오렌지, 귤, 우디",N,5.4,1,2,1,2,1,3,4,1,54,풍부하고 진한 입감을 즐기는 타입,2.4,355
356,2023-03-12 03:36:00.000000,2023-03-12 03:36:00.000000,2.2,2.9,4.4,"견과류, 묵직한, 스모크, 견과류, 고소한, 체리, 복숭아, 플로럴",N,8.5,2,4,2,1,4,3,2,4,15,향미에 가치를 두는 타입,4.0,356
357,2023-03-12 04:19:12.000000,2023-03-12 04:19:12.000000,5.4,5.0,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,5.3,2,2,2,2,1,2,4,1,52,풍부하고 진한 입감을 즐기는 타입,3.3,357
358,2023-03-12 05:02:24.000000,2023-03-12 05:02:24.000000,4.0,3.8,4.0,"과일, 초코, 균형있는, 과일, 풍부한, 체리, 복숭아, 허브",N,8.2,1,4,3,1,2,1,2,3,13,향미에 가치를 두는 타입,5.1,358
359,2023-03-12 05:45:36.000000,2023-03-12 05:45:36.000000,4.7,3.1,5.6,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,6.8,1,2,2,1,2,2,4,2,15,향미에 가치를 두는 타입,4.2,359
360,2023-03-12 06:28:48.000000,2023-03-12 06:28:48.000000,5.3,3.9,6.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,5.7,2,5,2,5,1,2,4,2,51,풍부하고 진한 입감을 즐기는 타입,3.8,360
361,2023-03-12 07:12:00.000000,2023-03-12 07:12:00.000000,2.8,4.7,8.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 우디",N,5.1,1,3,2,5,1,2,5,1,51,풍부하고 진한 입감을 즐기는 타입,4.0,361
362,2023-03-12 07:55:12.000000,2023-03-12 07:55:12.000000,2.8,5.8,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 망고, 바나나, 파인애플, 허브",N,7.6,1,2,1,1,1,3,5,3,15,향미에 가치를 두는 타입,3.5,362
363,2023-03-12 08:38:24.000000,2023-03-12 08:38:24.000000,5.3,3.9,5.3,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,7.4,1,4,2,1,1,2,4,2,12,향미에 가치를 두는 타입,3.8,363
364,2023-03-12 09:21:36.000000,2023-03-12 09:21:36.000000,3.3,2.5,6.7,"견과류, 묵직한, 스모크, 과일, 풍부한, 망고, 바나나, 파인애플, 플로럴",N,6.5,1,2,2,5,3,1,5,4,51,풍부하고 진한 입감을 즐기는 타입,4.7,364
365,2023-03-12 10:04:48.000000,2023-03-12 10:04:48.000000,5.1,3.6,5.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 망고, 바나나, 파인애플, 시트러스",N,6.2,1,2,1,3,1,1,5,2,13,향미에 가치를 두는 타입,5.7,365
366,2023-03-12 10:48:00.000000,2023-03-12 10:48:00.000000,5.7,4.2,4.4,"견과류, 묵직한, 스모크, 과일, 풍부한, 베리, 커런트, 시트러스",N,7.8,2,2,2,1,1,1,3,2,12,향미에 가치를 두는 타입,3.5,366
367,2023-03-12 11:31:12.000000,2023-03-12 11:31:12.000000,2.4,4.9,5.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,7.4,2,3,1,1,1,2,2,1,15,향미에 가치를 두는 타입,4.3,367
368,2023-03-12 12:14:24.000000,2023-03-12 12:14:24.000000,2.4,3.8,6.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 우디",N,6.4,1,3,1,1,4,2,5,1,15,향미에 가치를 두는 타입,4.9,368
369,2023-03-12 12:57:36.000000,2023-03-12 12:57:36.000000,5.6,4.4,3.9,"카라멜, 고소한, 풍부한, 과일, 풍부한, 베리, 커런트, 시트러스",N,7.6,2,5,1,1,1,1,3,2,12,향미에 가치를 두는 타입,3.6,369
